Date,Price,1d Price_C,5d Price_C,10d Price_C,T10Y2Y,T10Y2Y_C,S&P500 Close,1d S&P500 Close_C,5d S&P500 Close_C,10d S&P500 Close_C,University of Michigan Consumer,M2,Average Weekly Hours of Production,Building Permits,Manufacturers' New Orders Durable Goods,Real personal income excluding current transfer receipts,"All Employees, Total Nonfarm",Industrial Production Index,Inventories to Sales Ratios,Label
2001/10/8,8.68,0.002309469,0.048309179,0.087719298,1.81,0,1062.439941,-0.008344438,0.02065441,0.100062077,82.7,4576.25,41,1566,170484,9779.6,131454,91.6795,1.4,Little Low Point
2001/10/9,8.64,-0.004608295,0.026128266,0.113402062,1.88,0.07,1056.75,-0.005355541,0.005155417,0.053116735,82.7,4576.25,41,1566,170484,9779.6,131454,91.6795,1.4,Little Low Point
2001/10/11,8.72,0.009259259,0.028301887,0.084577114,1.81,-0.07,1097.430054,0.038495438,0.023454717,0.084127784,82.7,4576.25,41,1566,170484,9779.6,131454,91.6795,1.4,Little Low Point
2001/10/12,8.86,0.016055046,0.037470726,0.089790898,1.87,0.06,1091.650024,-0.005266878,0.020586576,0.084018557,82.7,4576.25,41,1566,170484,9779.6,131454,91.6795,1.4,Little High Point
2001/10/15,8.82,-0.004514673,0.018475751,0.079559364,1.84,-0.03,1089.97998,-0.001529835,0.017360764,0.070066067,82.7,4576.25,41,1566,170484,9779.6,131454,91.6795,1.4,Little Low Point
2001/10/16,8.76,-0.006802721,0.00921659,0.057971014,1.82,-0.02,1097.540039,0.006935961,0.033037254,0.054374028,82.7,4576.25,41,1566,170484,9779.6,131454,91.6795,1.4,Little High Point
2001/10/17,8.8,0.00456621,0.018518519,0.045130641,1.79,-0.03,1077.089966,-0.018632644,0.019247661,0.024502308,82.7,4576.25,41,1566,170484,9779.6,131454,91.6795,1.4,High Point
2001/10/18,8.77,-0.003409091,0.005733945,0.034198113,1.81,0.02,1068.609985,-0.007873048,-0.026261418,-0.003422654,82.7,4576.25,41,1566,170484,9779.6,131454,91.6795,1.4,High Point
2001/10/19,8.69,-0.009122007,-0.019187359,0.017564403,1.86,0.05,1073.47998,0.004557318,-0.016644569,0.003599352,82.7,4576.25,41,1566,170484,9779.6,131454,91.6795,1.4,Little High Point
2001/10/22,8.67,-0.002301496,-0.017006803,0.001154734,1.84,-0.02,1089.900024,0.015296088,-7.34E-05,0.017286135,82.7,4598.98,41,1566,170484,9779.6,131454,91.6795,1.4,Little Low Point
2001/10/23,8.78,0.012687428,0.002283105,0.011520737,1.85,0.01,1084.780029,-0.004697674,-0.011626009,0.021027154,82.7,4598.98,41,1566,170484,9779.6,131454,91.6795,1.4,Little Low Point
2001/10/24,8.81,0.003416856,0.001136364,0.019675926,1.89,0.04,1085.199951,0.000387103,0.007529534,0.026922121,82.7,4598.98,41,1566,170484,9779.6,131454,91.6795,1.4,Little Low Point
2001/10/25,8.81,0,0.004561003,0.010321101,1.93,0.04,1100.089966,0.013720988,0.029458812,0.002423764,82.7,4598.98,41,1566,170484,9779.6,131454,91.6795,1.4,Little Low Point
