Date,Price,%change,Label
1998/10/13,9.19,9.25,Extremely Low Point
1998/10/14,9.15,9.4,Extremely Low Point
1998/10/15,9.23,8.88,Extremely Low Point
1998/10/17,9.72,5.45,Extremely Low Point
1998/10/19,9.72,6.79,Extremely Low Point
1998/10/20,9.85,5.38,Extremely Low Point
1998/10/21,9.92,6.35,Extremely Low Point
1998/10/22,10.07,3.97,Low Point
1998/10/23,10.09,6.05,Extremely Low Point
1998/10/26,10.09,5.25,Extremely Low Point
1998/10/27,10.04,6.57,Extremely Low Point
1998/10/28,10.01,7.29,Extremely Low Point
1998/10/29,10.05,5.87,Extremely Low Point
1998/10/30,10.25,1.95,Little Low Point
1998/10/31,10.38,0.48,Little High Point
1998/11/02,10.38,-0.48,Little High Point
1998/11/03,10.55,-1.42,High Point
1998/11/04,10.47,-0.1,Little High Point
1998/11/05,10.7,-0.84,Little High Point
1998/11/06,10.62,1.41,Little Low Point
1998/11/07,10.7,1.78,Little Low Point
1998/11/09,10.74,1.49,Little Low Point
1998/11/10,10.64,4.23,Low Point
1998/11/11,10.45,4.98,Extremely Low Point
1998/11/13,10.43,6.52,Extremely Low Point
1998/11/16,10.33,7.65,Extremely Low Point
1998/11/17,10.4,8.08,Extremely Low Point
1998/11/18,10.46,4.88,Extremely Low Point
1998/11/19,10.61,3.49,Low Point
1998/11/20,10.77,2.04,Little Low Point
1998/11/21,10.89,0.64,Little High Point
1998/11/23,10.9,1.47,Little Low Point
1998/11/24,11.09,0.45,Little High Point
1998/11/25,10.97,0.73,Little High Point
1998/11/26,11.11,-0.9,High Point
1998/11/27,11.12,-1.8,High Point
1998/11/30,11.24,-3.65,Extremely High Point
1998/12/01,10.97,-2.64,High Point
1998/12/02,10.98,-3.01,Extremely High Point
1998/12/03,10.99,-3.28,Extremely High Point
1998/12/04,10.96,-2.46,High Point
1998/12/07,11.06,-2.62,High Point
1998/12/08,11.14,-3.41,Extremely High Point
1998/12/09,11.05,-1.54,High Point
1998/12/10,11.01,-2.18,High Point
1998/12/11,10.92,-0.55,Little High Point
1998/12/14,10.83,0.46,Little High Point
1998/12/15,10.68,1.5,Little Low Point
1998/12/16,10.65,1.69,Little Low Point
1998/12/17,10.63,2.26,Low Point
1998/12/18,10.69,4.21,Extremely Low Point
1998/12/19,10.77,5.2,Extremely Low Point
1998/12/21,10.76,8.09,Extremely Low Point
1998/12/22,10.88,6.99,Extremely Low Point
1998/12/23,10.77,9.29,Extremely Low Point
1998/12/24,10.86,8.01,Extremely Low Point
1998/12/28,10.88,6.43,Extremely Low Point
1998/12/29,10.84,6.37,Extremely Low Point
1998/12/30,10.83,5.54,Extremely Low Point
1998/12/31,10.87,5.98,Extremely Low Point
1999/01/05,11.14,3.41,Low Point
1999/01/06,11.33,2.21,Low Point
1999/01/07,11.63,-0.17,Little High Point
1999/01/08,11.64,1.55,Little Low Point
1999/01/11,11.77,-0.25,Little High Point
1999/01/12,11.73,-0.6,Little High Point
1999/01/13,11.58,0.09,Little High Point
1999/01/14,11.53,1.39,Little Low Point
1999/01/15,11.43,1.66,Little Low Point
1999/01/16,11.52,1.13,Little Low Point
1999/01/18,11.52,2.34,Low Point
1999/01/19,11.58,1.81,Little Low Point
1999/01/20,11.61,1.38,Little Low Point
1999/01/21,11.82,-0.76,Little High Point
1999/01/22,11.74,-0.09,Little High Point
1999/01/25,11.66,-0.6,Little High Point
1999/01/26,11.59,1.9,Low Point
1999/01/27,11.69,1.03,Little Low Point
1999/01/28,11.62,-0.26,Little High Point
1999/01/29,11.65,-2.06,High Point
1999/01/30,11.79,-3.82,High Point
1999/02/01,11.79,-1.78,Little High Point
1999/02/02,11.77,-4.67,High Point
1999/02/03,11.73,-2.22,Little High Point
1999/02/04,11.73,-2.64,Little High Point
1999/02/05,11.59,-7.59,Extremely High Point
1999/02/06,11.81,-9.06,Extremely High Point
1999/02/08,11.81,-9.82,Extremely High Point
1999/02/09,11.59,-9.15,Extremely High Point
1999/02/10,11.41,-8.94,Extremely High Point
1999/02/11,11.34,-7.94,Extremely High Point
1999/02/12,11.58,-10.88,Extremely High Point
1999/02/19,11.22,-8.2,Extremely High Point
1999/02/20,11.47,-10.11,Extremely High Point
1999/02/22,11.42,-9.11,Extremely High Point
1999/02/23,10.71,-3.08,Little High Point
1999/02/24,10.74,-2.05,Little High Point
1999/02/25,10.65,-0.19,Little Low Point
1999/02/26,10.53,1.42,Little Low Point
1999/03/01,10.39,2.21,Low Point
1999/03/02,10.44,1.53,Little Low Point
1999/03/03,10.32,3.2,Low Point
1999/03/04,10.3,4.85,Extremely Low Point
1999/03/05,10.31,3.78,Extremely Low Point
1999/03/06,10.38,1.54,Little Low Point
1999/03/08,10.38,1.73,Little Low Point
1999/03/09,10.52,0.48,Little High Point
1999/03/10,10.63,-0.09,Little High Point
1999/03/11,10.68,-2.15,High Point
1999/03/12,10.62,-1.51,High Point
1999/03/15,10.6,0.09,Little High Point
1999/03/16,10.65,-0.28,Little High Point
1999/03/17,10.8,-1.76,High Point
1999/03/18,10.7,-1.21,High Point
1999/03/19,10.54,0.19,Little High Point
1999/03/20,10.56,0.95,Little Low Point
1999/03/22,10.57,0.76,Little Low Point
1999/03/23,10.62,1.79,Little Low Point
1999/03/24,10.45,3.06,Low Point
1999/03/25,10.46,3.25,Low Point
1999/03/26,10.61,1.13,Little Low Point
1999/03/29,10.62,1.79,Little Low Point
1999/03/30,10.61,1.41,Little Low Point
1999/03/31,10.57,1.89,Little Low Point
1999/04/01,10.56,2.08,Low Point
1999/04/02,10.66,1.5,Little Low Point
1999/04/03,10.65,2.63,Low Point
1999/04/06,10.81,0.83,Little Low Point
1999/04/07,10.77,0.09,Little High Point
1999/04/08,10.8,-1.11,High Point
1999/04/09,10.73,0.84,Little Low Point
1999/04/12,10.81,0.83,Little Low Point
1999/04/13,10.76,2.14,Low Point
1999/04/14,10.77,3.34,Low Point
1999/04/15,10.78,3.99,Extremely Low Point
1999/04/16,10.82,3.05,Low Point
